"filename", "language", "JavaScript", "MS SQL", "JSON", "TypeScript", "Markdown", "YAML", "Docker", "Ignore", "HTML", "PostCSS", "JavaScript JSX", "comment", "blank", "total"
"c:\Users\Palmt\Desktop\Project\trouble-tracking-system-project\README.md", "Markdown", 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\Palmt\Desktop\Project\trouble-tracking-system-project\client\.dockerignore", "Ignore", 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 11
"c:\Users\Palmt\Desktop\Project\trouble-tracking-system-project\client\Dockerfile", "Docker", 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 3, 2, 22
"c:\Users\Palmt\Desktop\Project\trouble-tracking-system-project\client\README.md", "Markdown", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 8, 17
"c:\Users\Palmt\Desktop\Project\trouble-tracking-system-project\client\eslint.config.js", "JavaScript", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 30
"c:\Users\Palmt\Desktop\Project\trouble-tracking-system-project\client\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 1, 14
"c:\Users\Palmt\Desktop\Project\trouble-tracking-system-project\client\package-lock.json", "JSON", 0, 0, 3191, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3192
"c:\Users\Palmt\Desktop\Project\trouble-tracking-system-project\client\package.json", "JSON", 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 39
"c:\Users\Palmt\Desktop\Project\trouble-tracking-system-project\client\src\App.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 1, 1, 8
"c:\Users\Palmt\Desktop\Project\trouble-tracking-system-project\client\src\App.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 81, 6, 10, 97
"c:\Users\Palmt\Desktop\Project\trouble-tracking-system-project\client\src\components\CardFinishProblem.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 63, 0, 6, 69
"c:\Users\Palmt\Desktop\Project\trouble-tracking-system-project\client\src\components\CardPendingProblem.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 127, 2, 8, 137
"c:\Users\Palmt\Desktop\Project\trouble-tracking-system-project\client\src\components\ChartForStatistic.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 65, 0, 8, 73
"c:\Users\Palmt\Desktop\Project\trouble-tracking-system-project\client\src\components\ConfirmButton.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 1, 3, 49
"c:\Users\Palmt\Desktop\Project\trouble-tracking-system-project\client\src\components\DateRangeFilter.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 1, 3, 30
"c:\Users\Palmt\Desktop\Project\trouble-tracking-system-project\client\src\components\FeedbackModal.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 140, 12, 21, 173
"c:\Users\Palmt\Desktop\Project\trouble-tracking-system-project\client\src\components\FilterProblem.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 70, 3, 10, 83
"c:\Users\Palmt\Desktop\Project\trouble-tracking-system-project\client\src\components\Footer.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Palmt\Desktop\Project\trouble-tracking-system-project\client\src\components\ImageUploader.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 3, 5, 52
"c:\Users\Palmt\Desktop\Project\trouble-tracking-system-project\client\src\components\LoadingSpinner.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 67, 2, 8, 77
"c:\Users\Palmt\Desktop\Project\trouble-tracking-system-project\client\src\components\Navbar.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 114, 6, 13, 133
"c:\Users\Palmt\Desktop\Project\trouble-tracking-system-project\client\src\components\SearchBar.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 3, 23
"c:\Users\Palmt\Desktop\Project\trouble-tracking-system-project\client\src\components\SimilarTickets.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 48, 1, 5, 54
"c:\Users\Palmt\Desktop\Project\trouble-tracking-system-project\client\src\components\StarRating.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 5, 7, 32
"c:\Users\Palmt\Desktop\Project\trouble-tracking-system-project\client\src\components\StatisticsSidebar.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 62, 14, 10, 86
"c:\Users\Palmt\Desktop\Project\trouble-tracking-system-project\client\src\components\TIcketStatusFilter.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 3, 30
"c:\Users\Palmt\Desktop\Project\trouble-tracking-system-project\client\src\components\TicketCategoryFilter.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 2, 29
